iter	Logloss
0	0.6920437033
1	0.6910849156
2	0.6904637547
3	0.6897924828
4	0.6890827002
5	0.688118591
6	0.6873831244
7	0.6864699803
8	0.6856572703
9	0.6848752861
10	0.6841401557
11	0.6832786282
12	0.682739146
13	0.6819507115
14	0.6812050337
15	0.6805011778
16	0.679830797
17	0.6791571661
18	0.6783153567
19	0.6775231684
20	0.6765856907
21	0.6758120603
22	0.6750738389
23	0.6740934942
24	0.6734492647
25	0.6726603032
26	0.6719280648
27	0.6712472092
28	0.6706626415
29	0.6699554149
30	0.6690979237
31	0.6682331899
32	0.6674136897
33	0.6665450758
34	0.6655833784
35	0.6647989025
36	0.663977172
37	0.6633928243
38	0.6627867686
39	0.6621252772
40	0.661346923
41	0.660484225
42	0.6596755054
43	0.6590014832
44	0.6582258816
45	0.6576245508
46	0.6569246418
47	0.6562214536
48	0.6554346162
49	0.654662505
50	0.6538507031
51	0.6531041467
52	0.6523413514
53	0.6515145002
54	0.6506486472
55	0.6500820979
56	0.6495379691
57	0.6487230693
58	0.6480187456
59	0.6472546733
60	0.64685635
61	0.6459939018
62	0.6455943069
63	0.6447033568
64	0.6441039171
65	0.6433991946
66	0.6428281629
67	0.6421287296
68	0.6413099113
69	0.6404155933
70	0.6397739994
71	0.6392232821
72	0.638548378
73	0.6377755461
74	0.637074578
75	0.6364868521
76	0.6358699958
77	0.6349952713
78	0.6344983066
79	0.6338402846
80	0.6329834035
81	0.6323175945
82	0.6314531299
83	0.6308657312
84	0.63020864
85	0.6294718767
86	0.6288538366
87	0.6283411355
88	0.6277077591
89	0.6271596039
90	0.6262619776
91	0.6254292421
92	0.6247919543
93	0.624167838
94	0.6234715626
95	0.622686498
96	0.621969527
97	0.6214623214
98	0.6209109343
99	0.6202707806
100	0.6197007242
101	0.6191562149
102	0.6186402234
103	0.6176492982
104	0.6170822841
105	0.6164267098
106	0.6156416682
107	0.6148081645
108	0.6141432833
109	0.6135635858
110	0.6128242395
111	0.6120377618
112	0.6116288153
113	0.6107778102
114	0.610317328
115	0.6096751814
116	0.6090445682
117	0.6083175062
118	0.6074690024
119	0.6069143663
120	0.6062208229
121	0.6056853009
122	0.6048259044
123	0.604241274
124	0.6034461218
125	0.6028886651
126	0.6021348578
127	0.6013597838
128	0.6007038382
129	0.5998101312
130	0.5989589907
131	0.598114495
132	0.5972732412
133	0.5964503844
134	0.5959034712
135	0.5949518216
136	0.5943780889
137	0.5935335024
138	0.5927261042
139	0.5918675297
140	0.5912079922
141	0.5904656075
142	0.5899257834
143	0.5890236944
144	0.5882167144
145	0.5873419104
146	0.5864371188
147	0.585638495
148	0.5848670731
149	0.5841790828
150	0.5835052584
151	0.5828044437
152	0.5819223084
153	0.5811192606
154	0.5804273878
155	0.5796898124
156	0.5786884466
157	0.577986096
158	0.5771510446
159	0.5763198021
160	0.5754684095
161	0.574923256
162	0.574215341
163	0.5733591163
164	0.5727726852
165	0.5721428706
166	0.5715326827
167	0.5709905124
168	0.5703313197
169	0.5695942831
170	0.568997142
171	0.5684262095
172	0.5676784101
173	0.5668462178
174	0.5659112877
175	0.565298789
176	0.5644313799
177	0.5636811007
178	0.5630280213
179	0.5625138361
180	0.5616395524
181	0.5609993543
182	0.5602885969
183	0.5595866955
184	0.5587533108
185	0.5580940381
186	0.557414013
187	0.5568464357
188	0.5563200528
189	0.5556935467
190	0.5550876285
191	0.5546628643
192	0.5539036004
193	0.5531566636
194	0.5524133903
195	0.5516736502
196	0.5512012783
197	0.5507129001
198	0.5499241419
199	0.5492562439
200	0.5482413864
201	0.547547351
202	0.546969178
203	0.5462581731
204	0.5454706296
205	0.5447691494
206	0.544049459
207	0.5433065939
208	0.5427113089
209	0.5420836987
210	0.5414470693
211	0.5408091461
212	0.5402180718
213	0.539594199
214	0.5390447433
215	0.5383719634
216	0.5379308742
217	0.5372817907
218	0.536680338
219	0.5360140436
220	0.5352364964
221	0.5345673337
222	0.5339523948
223	0.5331952311
224	0.5325581867
225	0.5318205572
226	0.5310843739
227	0.5306229575
228	0.5297654
229	0.5289925889
230	0.5284775987
231	0.5275889451
232	0.5267503699
233	0.5261746765
234	0.525574619
235	0.5249462947
236	0.5241316507
237	0.5234254179
238	0.522784991
239	0.522133281
240	0.5214550714
241	0.5209252857
242	0.5203329851
243	0.5195668697
244	0.5190382206
245	0.5182530993
246	0.517585541
247	0.5170204262
248	0.516377327
249	0.5155749844
250	0.5150963878
251	0.5146136579
252	0.5140766218
253	0.5136813862
254	0.5129547179
255	0.5124307543
256	0.5118364437
257	0.5112620577
258	0.5105639219
259	0.5097472407
260	0.5091312492
261	0.5083940426
262	0.5077346299
263	0.5070688825
264	0.5063822334
265	0.5059749105
266	0.5053150108
267	0.5045973038
268	0.5039915537
269	0.5033134491
270	0.5027010594
271	0.5020372917
272	0.5013333695
273	0.5005809483
274	0.4999277505
275	0.4993208746
276	0.4987529972
277	0.498232633
278	0.497664162
279	0.4970892967
280	0.4965217826
281	0.495974451
282	0.4953395757
283	0.4946912312
284	0.4940747986
285	0.49346371
286	0.4930583934
287	0.4926315273
288	0.4920542259
289	0.4913883463
290	0.4909538432
291	0.4903268229
292	0.4896063097
293	0.4889532184
294	0.4883973121
295	0.4877843752
296	0.4871499841
297	0.4868245395
298	0.4860475939
299	0.4855587727
300	0.4847767159
301	0.4843672613
302	0.483809374
303	0.483208581
304	0.4828026132
305	0.4822805526
306	0.4817891188
307	0.4813454681
308	0.4808016797
309	0.4802550949
310	0.4796592633
311	0.4790493321
312	0.478686259
313	0.4780819981
314	0.4775386003
315	0.477070328
316	0.4764415019
317	0.4757973177
318	0.4750721912
319	0.4744767754
320	0.4740093332
321	0.4735746696
322	0.4730060739
323	0.4725202492
324	0.4719973388
325	0.4712717271
326	0.4707003938
327	0.4701591092
328	0.469487971
329	0.4690072245
330	0.4683618445
331	0.4678497499
332	0.4673083161
333	0.4669376897
334	0.4664173829
335	0.4659491184
336	0.4653645622
337	0.4649347136
338	0.4643829191
339	0.4639082828
340	0.4633442314
341	0.4628341372
342	0.4623142924
343	0.4615610166
344	0.4611763204
345	0.4606701589
346	0.4599131979
347	0.4593596172
348	0.4587273664
