iter	Passed	Remaining
415	2785	1232
416	2792	1225
417	2798	1218
418	2805	1211
419	2811	1204
420	2818	1198
421	2824	1191
422	2830	1184
423	2837	1177
424	2843	1170
425	2850	1164
426	2857	1157
427	2864	1151
428	2870	1144
429	2877	1137
430	2883	1130
431	2890	1124
432	2897	1117
433	2904	1110
434	2911	1104
435	2918	1097
436	2925	1091
437	2931	1084
438	2938	1077
439	2945	1070
440	2951	1064
441	2958	1057
442	2965	1050
443	2971	1044
444	2978	1037
445	2984	1030
446	2990	1023
447	2997	1016
448	3003	1010
449	3010	1003
450	3016	996
451	3022	989
452	3029	983
453	3035	976
454	3041	969
455	3048	962
456	3054	955
457	3060	948
458	3066	942
459	3073	935
460	3079	928
461	3086	921
462	3093	915
463	3100	908
464	3106	901
465	3112	895
466	3119	888
467	3125	881
468	3131	874
469	3138	868
470	3144	861
471	3150	854
472	3157	847
473	3163	840
474	3170	834
475	3176	827
476	3183	820
477	3189	814
478	3196	807
479	3202	800
480	3208	793
481	3215	787
482	3221	780
483	3227	773
484	3234	766
485	3241	760
486	3247	753
487	3254	746
488	3260	740
489	3266	733
490	3273	726
491	3279	719
492	3286	713
493	3292	706
494	3298	699
495	3305	693
496	3311	686
497	3317	679
498	3324	672
499	3330	666
500	3337	659
501	3344	652
502	3350	646
503	3357	639
504	3364	632
505	3370	626
506	3377	619
507	3383	612
508	3390	606
509	3396	599
510	3402	592
511	3409	585
512	3415	579
513	3422	572
514	3428	565
515	3434	559
516	3440	552
517	3447	545
518	3453	538
519	3459	532
520	3465	525
521	3472	518
522	3478	512
523	3485	505
524	3491	498
525	3498	492
526	3505	485
527	3511	478
528	3518	472
529	3524	465
530	3530	458
531	3537	452
532	3543	445
533	3550	438
534	3556	432
535	3563	425
536	3570	418
537	3576	412
538	3583	405
539	3589	398
540	3595	392
541	3602	385
542	3608	378
543	3615	372
544	3621	365
545	3628	358
546	3634	352
547	3640	345
548	3646	338
549	3653	332
550	3659	325
551	3665	318
552	3671	312
553	3678	305
554	3684	298
555	3691	292
556	3697	285
557	3703	278
558	3710	272
559	3716	265
560	3723	258
561	3729	252
562	3736	245
563	3742	238
564	3748	232
565	3755	225
566	3761	218
567	3768	212
568	3775	205
569	3781	199
570	3787	192
571	3794	185
572	3800	179
573	3807	172
574	3814	165
575	3820	159
576	3827	152
577	3833	145
578	3840	139
579	3846	132
580	3852	125
581	3858	119
582	3865	112
583	3871	106
584	3877	99
585	3884	92
586	3890	86
587	3897	79
588	3903	72
589	3909	66
590	3916	59
591	3923	53
592	3929	46
593	3936	39
594	3942	33
595	3948	26
596	3954	19
597	3961	13
598	3967	6
599	3973	0
