iter	Logloss
0	0.6784066975
1	0.6642092508
2	0.6511205494
3	0.6371877465
4	0.6238523453
5	0.6104894788
6	0.6005971942
7	0.5866321653
8	0.5767078378
9	0.5674729515
10	0.5595392512
11	0.5529804049
12	0.5459286472
13	0.5397623112
14	0.5330737675
15	0.5247750832
16	0.5197033328
17	0.5135208228
18	0.5092726054
19	0.5035715934
20	0.499235609
21	0.4956591939
22	0.4911900331
23	0.4873417416
24	0.4831006042
25	0.4802383797
26	0.4774916621
27	0.4742816958
28	0.4712359722
29	0.4675338574
30	0.4650418657
31	0.4632820696
32	0.4605860103
33	0.4560597521
34	0.4543970002
35	0.4529737766
36	0.4508457007
37	0.4481919991
38	0.4455423868
39	0.4432630074
40	0.4419239193
41	0.4397128065
42	0.4384519641
43	0.4363112541
44	0.4340441731
45	0.4331661365
46	0.4321768348
47	0.4306719171
48	0.4287050322
49	0.4270296462
50	0.4260077828
51	0.4240549053
52	0.4228636723
53	0.4219198715
54	0.4211750114
55	0.420641787
56	0.4197825489
57	0.4183105591
58	0.4171760573
59	0.415163641
60	0.4137319031
61	0.4119702149
62	0.4111389915
63	0.4106502915
64	0.4102292783
65	0.4094509104
66	0.4080373607
67	0.407216391
68	0.4057585916
69	0.4048543714
70	0.403886981
71	0.4031651612
72	0.4022293559
73	0.4014353023
74	0.4003949761
75	0.3995782788
76	0.3988471513
77	0.3980877651
78	0.3973669524
79	0.3965847089
80	0.3963771929
81	0.3954568903
82	0.3947191101
83	0.3942923292
84	0.3937410997
85	0.3931996052
86	0.3924249909
87	0.3921612931
88	0.3911521553
89	0.390149182
90	0.3896327114
91	0.3888287703
92	0.3878983055
93	0.3868739092
94	0.3862323187
95	0.3856025384
96	0.384946666
97	0.3838164976
98	0.3831203732
99	0.3822829243
100	0.3814754127
101	0.381032061
102	0.3802669985
103	0.3794019623
104	0.3790528472
105	0.3782484483
106	0.3774757566
107	0.3768631269
108	0.3764101623
109	0.3753797847
110	0.3743041808
111	0.3735435738
112	0.3726225083
113	0.3723471529
114	0.3720121673
115	0.3716344883
116	0.3710341569
117	0.3707853209
118	0.3701506273
119	0.3697948595
120	0.3684608983
121	0.367800845
122	0.3671977976
123	0.3667400419
124	0.3661297009
125	0.3655497549
126	0.3642742033
127	0.3637387511
128	0.3632854509
129	0.3625345789
130	0.361737321
131	0.3613450853
132	0.3611085172
133	0.3604742813
134	0.3601881535
135	0.3598564332
136	0.3595151915
137	0.3583589616
138	0.3576950326
139	0.3572812214
140	0.3566606878
141	0.3561848659
142	0.3558132903
143	0.3555574964
144	0.3546291983
145	0.3542050419
146	0.3533852929
147	0.3527734871
148	0.3524078928
149	0.3519538297
150	0.3514300045
151	0.3504287096
152	0.3499304577
153	0.3495701735
154	0.3493072996
155	0.3492592047
156	0.3487774626
157	0.3483131762
158	0.3480343419
159	0.3478281382
160	0.3470295986
161	0.3467542433
162	0.3460704478
163	0.3453792061
164	0.345142821
165	0.3444662275
166	0.3435957287
167	0.3431698938
168	0.3431078221
169	0.3426049317
170	0.342206318
171	0.3419451836
172	0.341078652
173	0.3402268296
174	0.3397250988
175	0.3396103852
176	0.3390099622
177	0.3380158999
178	0.3375859452
179	0.3370963296
180	0.3366177002
181	0.3361282983
182	0.3351866337
183	0.334997428
184	0.3343772606
185	0.3338921615
186	0.3327302554
187	0.332342811
188	0.3320357484
189	0.3312306476
190	0.3310918866
191	0.3305324175
192	0.3301154326
193	0.3296406483
194	0.3292906483
195	0.3284137409
196	0.3279285198
197	0.3275339343
198	0.3269895712
199	0.326625747
200	0.3260788509
201	0.3258926054
202	0.3253701535
203	0.3247451643
204	0.3241976885
205	0.3233446149
206	0.3227296963
207	0.3222397146
208	0.321563762
209	0.3214696474
210	0.3208095636
211	0.3204628289
212	0.3194998024
213	0.3189452771
214	0.3184092146
215	0.3177826385
216	0.3175296217
217	0.3172112678
218	0.3165190496
219	0.3160456386
220	0.3156037212
221	0.3152241502
222	0.3149684478
223	0.3146362697
224	0.3145164293
225	0.3142822109
226	0.3130273804
227	0.3125408471
228	0.3124239363
229	0.312224843
230	0.31115165
231	0.3106663373
232	0.3103257365
233	0.3098684996
234	0.3089569553
235	0.3089479833
236	0.3086923725
237	0.3080347606
238	0.3076178672
239	0.307120775
240	0.3068173745
241	0.3058771137
242	0.3051857194
243	0.3047456941
244	0.3043666113
245	0.3036198286
246	0.3033794153
247	0.3025092216
248	0.3015155255
249	0.3008168071
250	0.3005822531
251	0.3002897777
252	0.2999085282
253	0.2993477164
254	0.2990558208
255	0.2987775358
256	0.2983344588
257	0.2979021848
258	0.2972880597
259	0.2967111654
260	0.2961960987
261	0.2958555589
262	0.2955166671
263	0.2950032788
264	0.294677082
265	0.2944359668
266	0.2942270776
267	0.2933921922
268	0.2930836953
269	0.2923467086
270	0.2918167495
271	0.2916287035
272	0.2909277574
273	0.2906828275
274	0.2899487704
275	0.2892820339
276	0.2889512902
277	0.2881508585
278	0.2877022884
279	0.2872810921
280	0.2867659032
281	0.2861661822
282	0.2857420562
283	0.2855293524
